;;;Column1;Column2;Column3
year 2 ;;core module;Device Interfacing & Programming;60 hours;This module introduces students to sensors and actuators, which are commonly used in mechatronic systems, and the interfacing techniques used for connecting them to a microprocessor/computer. Hands-on applications of these devices will also be provided. Upon completion of the module, learners will be able to demonstrate the techniques and skill used to integrate devices in realising a mechatronic system.
year 2 ;;core module;Differential Equations & Series;60 hrs;This module provides learners with the knowledge of solving ordinary differential equations and representing periodic functions in terms of Fourier series. The learners will be able to select and use appropriate models and techniques to solve engineering related problems. The main topics covered include first-order and second-order homogenous differential equations, Fourier series and its application.
year 2 ;;core module;Mechanical Design;60 hours;This module covers the strength of materials and its application to machine elements and engineering design. It provides learners with fundamental knowledge in engineering design. This includes stress and strain analysis, limits and fits, sizing of drive elements such as shaft, gear, flexible drive and leadscrew, and the application of bearings. Design exercises are included to provide the students with hands-on experience in design. At the end of this module, they will be able to effectively contribute to the design of mechanisms.
year 2 ;;core module;Microcontroller Applications;60 hours;This module introduces the application design and development process for an embedded microcontroller system. Learners will learn to develop microcontroller application programmes. Concepts covered in microcontroller programming are I/O programming, peripherals programming and interrupt handlings. Case studies will be used to illustrate the fundamental building blocks of a microcontroller system and how they are inter-related. Upon completion of this module, students will be able to demonstrate the use of various basic programming skills and knowledge of an embedded microcontroller system.
year 2 ;;core module;Probability & Statistics;60 hrs;This module provides learners with the essential concepts of probability and statistics. The learners will be able to apply probability theory and statistics to analyse real life problems. The topics covered include the probability concepts, probability distributions (Binomial, Poisson and Normal), sampling distributions, estimating and testing of population mean, linear correlation and regression.
year 2 ;;core module;Quality Assurance;60 hours;This module aims to introduce the fundamentals of quality assurance concepts and systems. It provides learners an understanding of quality system in the manufacturing environment. It encompasses sampling plans and control charts for monitoring of batch production. In addition, the module also provides learners with fundamental concepts in dimensional measurement. They will learn about some of the specialised instruments and techniques through hands-on practice. By the end of the module, learners will gain a firm understanding of good measurement practices.
year 2 ;;core module;Robotic Systems & Peripherals;60 hours;This module is designed to provide learners with a sound knowledge of robotics technology. The module covers robot classification and anatomy, robot kinematics, control concept, robotic communication and programming, system peripherals, machine vision system and robotic safety. Upon completion of this module, learners will gain a basic understanding of the key aspects of robotics.
year 2 ;;core module;Semestral Projects;;
year 2 ;;core module;Semestral Project 3;30 hours;This module aims to develop learners’ innovative and enterprising mindset by providing them with experiences in self-initiated learning in innovation and enterprise. Learners will learn to recognise and relate the importance of innovation and enterprise through studying real-world examples around them, as well as a series of experiential exploration and research into varied technologies, products and industries.
year 2 ;;core module;Semestral Project 4;60 hours;Mechatronics systems are crucial to modern products and devices that have a specific purpose. Robots, automated production systems, consumer electronics and household appliances are examples of such systems. In this module, learners will interface various input and output devices to a programmable controller through a series of practical exercises. They will also acquire knowledge of wireless and Internet of Things (IoT) technology to link the controller to a cloud application. This will enable remote sensing, data aggregation, analysis, and control. In addition, learners will be able to integrate the components to design, develop and troubleshoot an IoT enabled robotics and mechatronics system according to a set of requirements.
year 2 ;;core module;General Studies;;To provide you an all-rounded education, NYP offers General Studies Modules (GSMs). So besides taking modules related directly to your chosen diploma course, you will get exposed to areas beyond your usual field of study. Through a combination of prescribed and elective inter-disciplinary GSMs, you will gain interesting, practical knowledge that can be beneficial to you as you prepare for the world of work and life after graduation. To learn more about the GSMs offered, click here
year 3;Automation and robotics technology;Core module;Automation Systems Design;60 hours;This module aims to provide essential concepts and principles to support the design process of automation systems. The module also aims to synthesize diverse engineering fundamentals including the use of robotic work cell and various types of layout in such systems. Various aspects of manufacturing systems/technologies and an overview of automation assembly systems will be covered in this module. The lectures are complemented with practical design sessions using 3D computer-assisted drafting and design system. Upon successfully completing this module, learners should be able to integrate the knowledge acquired from this module and other related engineering knowledge to perform design of automation systems.
year 3;Automation and robotics technology;Core module;Communication & Personal Branding;30 hours;In today’s competitive environment, a strong personal brand sets one apart from others. In this module, learners will develop techniques to impress and persuade others to accept their ideas. They will also learn how to communicate effectively over email. To support their job search, learners will use digital portfolios to showcase their abilities, as well as gain the knowledge and skills to promote their capabilities in their cover letters and resumes. They will also acquire skills to project themselves positively and for performing well at interviews.
year 3;Automation and robotics technology;Core module;Motion Control & Drives;60 hours;This module equips learners with practical knowledge of motion control systems and the associated power electronics knowledge for drive applications. These drives are the prime movers of most mechatronics products and automation systems of today. At the end of the module, learners will be able to apply the knowledge gained to real-life engineering projects.
year 3;Automation and robotics technology;Core module;Semestral Project;60 hours;This module develops learners’ abilities in applying techniques, skills and knowledge learnt for new product design, development and product marketing. Learners are expected to present their solutions with a complete business plan, which includes, but is not restricted to, information gathering, market analysis, manufacturability, product usability, robustness of design and cost analysis. Upon completion of the module, learners will be able to demonstrate an understanding of the processes involved in new product design/development, cost analysis and product marketing.
year 3;Automation and robotics technology;Core module;General Studies;;To provide you an all-rounded education, NYP offers General Studies Modules (GSMs). So besides taking modules related directly to your chosen diploma course, you will get exposed to areas beyond your usual field of study. Through a combination of prescribed and elective inter-disciplinary GSMs, you will gain interesting, practical knowledge that can be beneficial to you as you prepare for the world of work and life after graduation.
year 3;Automation and robotics technology;Elective module;Communication & Networking;60 hours;This module acquaints learners with the fundamentals of computer communications and networking, their protocols and operation. It also equips learners with sufficient practical knowledge in computer data networks and device communications that support shop-floor automation systems and solutions. At the end of the module, learners will be able to apply the knowledge and competence acquired in computer communications and local area networking to solve real-life engineering problems.
year 3;Automation and robotics technology;Elective module;Intelligent Systems;30 hours;This module provides students with essential knowledge of data acquisition, signal processing and intelligent algorithms related to the industry to meet the needs for intelligent automation system. It uses AI techniques to develop solutions to design intelligent systems. Practical skills pertaining to these technologies will be emphasised in the laboratory to enhance the understanding of intelligent systems and how to realise these systems. In all, learners will gain competency in building control system/sub-system and in applying techniques for developing intelligent systems.
year 3;Automation and robotics technology;Elective module;Mechanisms Design & Simulation;60 hours;This module aims to equip learners with knowledge to select and design mechanisms for automated machines and equipment. Coverage includes fundamental design principles and design considerations of typical mechanisms. The focus is on the understanding of mechanism design principles and application of such knowledge in the development of automation devices and machines. Upon completion of the module, learners will be able to analyse, model and develop mechanisms to solve problems in the automation industry.
year 3;Automation and robotics technology;Elective module;Systems & Control;60 hours;This module provides learners with the fundamental knowledge of control system. It includes the characteristics and modelling of physical system, basis of frequency and time domain analysis. The module also covers feedback control system, stability study and PID control. Upon completion of this module, learners will be able to appreciate and apply their knowledge to solve real-life problems related to feedback control systems.
year 3;Automation and robotics technology;Elective module;Wafer Fabrication Processes;;This module aims to equip learners with the fundamental principles pertaining to semiconductor devices. It includes atomic physics, semiconductor materials and the physics of semiconductor devices. Learners will also learn about semiconductor assembly processes, failure analysis techniques, reliability and testing methods.
year 3;wafer fabrication technology;Core module;Communication & Personal Branding;30 hours;In today’s competitive environment, a strong personal brand sets one apart from others. In this module, learners will develop techniques to impress and persuade others to accept their ideas. They will also learn how to communicate effectively over email. To support their job search, learners will use digital portfolios to showcase their abilities, as well as gain the knowledge and skills to promote their capabilities in their cover letters and resumes. They will also acquire skills to project themselves positively and for performing well at interviews.
year 3;wafer fabrication technology;Core module;Semestral Project;60 hours;This module develops learners’ abilities in applying techniques, skills and knowledge learnt for new product design, development and product marketing. Learners are expected to present their solutions with a complete business plan, which includes, but is not restricted to, information gathering, market analysis, manufacturability, product usability, robustness of design and cost analysis. Upon completion of the module, learners will be able to demonstrate an understanding of the processes involved in new product design/development, cost analysis and product marketing.
year 3;wafer fabrication technology;Core module;Semiconductor Technology;60 hours;Learners should have some knowledge of basic engineering sciences, mathematics, electrical principles, electronics and electronic devices. Major topics covered include classification of cleanrooms, a study of major IC devices, parametric testing, failure analysis and reliability engineering. Practical skills pertaining to these topics will be realised in the laboratory to enhance the understanding of semiconductor technologies in a real manufacturing environment. At the end of the module, learners will be able to apply the knowledge that they have gained to real-life engineering problems involving parametric testing, failure analysis and reliability engineering.
year 3;wafer fabrication technology;Core module;Wafer Fabrication Processes;60 hours;This module aims to equip learners with the fundamental principles pertaining to semiconductor devices. It includes atomic physics, semiconductor materials and the physics of semiconductor devices. Learners will also learn about semiconductor assembly processes, failure analysis techniques, reliability and testing methods.
year 3;wafer fabrication technology;Core module;General Studies;;To provide you an all-rounded education, NYP offers General Studies Modules (GSMs). So besides taking modules related directly to your chosen diploma course, you will get exposed to areas beyond your usual field of study. Through a combination of prescribed and elective inter-disciplinary GSMs, you will gain interesting, practical knowledge that can be beneficial to you as you prepare for the world of work and life after graduation.
year 3;wafer fabrication technology;Elective module;Communication & Networking;60 hours;This module acquaints learners with the fundamentals of computer communications and networking, their protocols and operation. It also equips students with sufficient practical knowledge in computer data networks and device communications that support shop-floor automation systems and solutions. At the end of the module, learners will be able to apply the knowledge and competence acquired in computer communications and local area networking to solve real-life engineering problems.
year 3;wafer fabrication technology;Elective module;Electronic Materials;60 hours;This module provides learners with essential knowledge and concepts of materials used in electronic applications. Learners are introduced to the physical principles of electronic conduction in materials, influences of composition and microstructure on electronic properties of materials, and applications of materials in electronic, magnetic and optical devices. Practical sessions will be conducted in the laboratory to enhance the understanding of the electronic materials and working principles of electronic devices. By the end of this module, learners will be able to analyse the electronic property of materials, describe the working principles and the structure of electronic devices such as diodes, light emitting diodes (LED), solar cells and transistors.
year 3;wafer fabrication technology;Elective module;Nanomaterials Science;60 hours;This module provides students with fundamental knowledge of materials at the nanoscale. Learners are introduced to the physics of nanotechnology. Topics covered include concepts of surface area, surface energy and structures, as well as their effects on material properties, and the common techniques to fabricate and characterise nanomaterials. Applications of important nanomaterials and their environmental impact will be discussed. Knowledge acquired by learners will be useful in the materials industry as well as in research laboratories.
year 3;wafer fabrication technology;Elective module;Systems & Control;60 hours;This module provides learners with the fundamental knowledge of control system. It includes the characteristics and modelling of physical system, basis of frequency and time domain analysis. The module also covers feedback control system, stability study and PID control. Upon completion of this module, learners will be able to appreciate and apply their knowledge to solve real-life problems related to feedback control systems.
year 3;wafer fabrication technology;Elective module;Vacuum Technology & RF Plasma;60 hours;This module aims to develop learners with essential fundamental knowledge in vacuum technology applicable to wafer fabrication processes. Topics include fluid flow and pumping concepts, vacuum pumps and vacuum pressure measurement techniques, vacuum system design, vacuum leak detection methods and hardware components. Learners will also learn about RF plasma basics, impedance matching network and process parameter effects. In all, learners will appreciate the various vacuum and fluid flow concepts, the application of these concepts to vacuum equipment and techniques, as well as basic RF plasma technology.
